fpl_id,first_name,second_name,web_name,position,team,start_cost,now_cost
335,Oriol,Romeu Vidal,Romeu,M,Southampton,4.5,4.5
336,Nathan,Redmond,Redmond,M,Southampton,6.0,6.0
337,Danny,Ings,Ings,F,Southampton,8.0,8.0
338,Jack,Stephens,Stephens,D,Southampton,4.5,4.5
339,Stuart,Armstrong,Armstrong,M,Southampton,6.0,6.0
340,Jannik,Vestergaard,Vestergaard,D,Southampton,5.0,5.0
341,James,Ward-Prowse,Ward-Prowse,M,Southampton,6.5,6.5
342,Kyle,Walker-Peters,Walker-Peters,D,Southampton,5.0,5.0
343,Jan,Bednarek,Bednarek,D,Southampton,4.5,4.5
344,Daniel,N'Lundulu,Nlundulu,F,Southampton,4.5,4.5
345,Che,Adams,Adams,F,Southampton,7.0,7.0
346,Nathan,Tella,Tella,M,Southampton,5.0,5.0
347,William,Smallbone,Smallbone,M,Southampton,4.5,4.5
348,Michael,Obafemi,Obafemi,F,Southampton,4.5,4.5
349,Ibrahima,Diallo,Diallo,M,Southampton,4.5,4.5
350,Moussa,Djenepo,Djenepo,M,Southampton,5.5,5.5
351,Mohammed,Salisu,Salisu,D,Southampton,4.5,4.5
352,Joe,Hart,Hart,G,Spurs,4.5,4.5
353,Hugo,Lloris,Lloris,G,Spurs,5.5,5.5
354,Moussa,Sissoko,Sissoko,M,Spurs,4.5,4.5
355,Toby,Alderweireld,Alderweireld,D,Spurs,5.0,5.0
356,Erik,Lamela,Lamela,M,Spurs,6.0,6.0
357,Harry,Kane,Kane,F,Spurs,12.5,12.5
358,Serge,Aurier,Aurier,D,Spurs,5.0,5.0
359,Heung-Min,Son,Son,M,Spurs,10.0,10.0
360,Matt,Doherty,Doherty,D,Spurs,5.0,5.0
361,Eric,Dier,Dier,D,Spurs,4.5,4.5
362,Lucas,Rodrigues Moura da Silva,Lucas Moura,M,Spurs,6.5,6.5
363,Bamidele,Alli,Dele,M,Spurs,6.5,6.5
364,Ben,Davies,Davies,D,Spurs,4.5,4.5
365,Pierre-Emile,Højbjerg,Højbjerg,M,Spurs,5.0,5.0
366,Harry,Winks,Winks,M,Spurs,4.5,4.5
367,Davinson,Sánchez,Sánchez,D,Spurs,4.5,4.5
368,Ryan,Sessegnon,Sessegnon,D,Spurs,4.5,4.5
369,Steven,Bergwijn,Bergwijn,M,Spurs,6.0,6.0
370,Sergio,Reguilón,Reguilón,D,Spurs,5.0,5.0
371,Japhet,Tanganga,Tanganga,D,Spurs,4.5,4.5
372,Giovani,Lo Celso,Lo Celso,M,Spurs,6.0,6.0
373,Oliver,Skipp,Skipp,M,Spurs,4.5,4.5
374,Joe,Rodon,Rodon,D,Spurs,4.5,4.5
375,Tanguy,Ndombele,Ndombele,M,Spurs,6.0,6.0
376,Ben,Foster,Foster,G,Watford,4.0,4.0
377,Danny,Rose,Rose,D,Watford,4.5,4.5
378,Dan,Gosling,Gosling,M,Watford,5.0,5.0
379,Craig,Cathcart,Cathcart,D,Watford,4.5,4.5
380,Troy,Deeney,Deeney,F,Watford,5.5,5.5
381,Tom,Cleverley,Cleverley,M,Watford,5.0,5.0
382,Francisco,Femenía Far,Femenía,D,Watford,4.5,4.5
383,Andre,Gray,Gray,F,Watford,5.5,5.5
384,Christian,Kabasele,Kabasele,D,Watford,4.5,4.5
385,Nathaniel,Chalobah,Chalobah,M,Watford,5.0,5.0
386,Will,Hughes,Hughes,M,Watford,5.0,5.0
387,William,Troost-Ekong,Troost-Ekong,D,Watford,4.5,4.5
388,Stipe,Perica,Perica,F,Watford,4.5,4.5
389,Daniel,Bachmann,Bachmann,G,Watford,4.5,4.5
390,Adam,Masina,Masina,D,Watford,4.5,4.5
391,Ken,Sema,Sema,M,Watford,5.5,5.5
392,Philip,Zinckernagel,Zinckernagel,M,Watford,5.5,5.5
393,Isaac,Success Ajayi,Success,F,Watford,5.0,5.0
394,Ayotomiwa,Dele-Bashiru,Dele-Bashiru,M,Watford,4.5,4.5
395,Ashley,Fletcher,Fletcher,F,Watford,5.0,5.0
396,Francisco,Sierralta,Sierralta,D,Watford,4.5,4.5
397,Domingos,Quina,Quina,M,Watford,4.5,4.5
398,Marc,Navarro,Navarro,D,Watford,4.0,4.0
399,Ismaila,Sarr,Sarr,M,Watford,6.0,6.0
400,Jeremy,Ngakia,Ngakia,D,Watford,4.5,4.5
401,Ben,Wilmot,Wilmot,D,Watford,4.5,4.5
402,Joseph,Hungbo,Hungbo,M,Watford,4.5,4.5
403,Imrân,Louza,Louza,M,Watford,5.5,5.5
404,João Pedro,Junqueira de Jesus,João Pedro,F,Watford,5.5,5.5
405,Kwadwo,Baah,Baah,M,Watford,4.5,4.5
406,Mark,Noble,Noble,M,West Ham,4.5,4.5
407,Darren,Randolph,Randolph,G,West Ham,4.5,4.5
408,Lukasz,Fabianski,Fabianski,G,West Ham,5.0,5.0
409,Angelo,Ogbonna,Ogbonna,D,West Ham,5.0,5.0
410,Winston,Reid,Reid,D,West Ham,4.0,4.0
411,Aaron,Cresswell,Cresswell,D,West Ham,5.5,5.5
412,Andriy,Yarmolenko,Yarmolenko,M,West Ham,5.5,5.5
413,Michail,Antonio,Antonio,F,West Ham,7.5,7.5
414,Craig,Dawson,Dawson,D,West Ham,5.0,5.0
415,Ryan,Fredericks,Fredericks,D,West Ham,4.5,4.5
416,Manuel,Lanzini,Lanzini,M,West Ham,6.0,6.0
417,Arthur,Masuaku,Masuaku,D,West Ham,4.5,4.5
418,Vladimir,Coufal,Coufal,D,West Ham,5.0,5.0
419,Saïd,Benrahma,Benrahma,M,West Ham,6.0,6.0
420,Jarrod,Bowen,Bowen,M,West Ham,6.5,6.5
421,Declan,Rice,Rice,M,West Ham,5.0,5.0
422,Tomas,Soucek,Soucek,M,West Ham,6.0,6.0
423,Pablo,Fornals,Fornals,M,West Ham,6.0,6.0
424,Issa,Diop,Diop,D,West Ham,4.5,4.5
425,Ben,Johnson,Johnson,D,West Ham,4.0,4.0
426,João Filipe Iria,Santos Moutinho,Moutinho,M,Wolves,5.0,5.0
427,Rui Pedro,dos Santos Patrício,Patrício,G,Wolves,5.0,5.0
428,Willy,Boly,Boly,D,Wolves,5.0,5.0
429,Conor,Coady,Coady,D,Wolves,4.5,4.5
430,Raúl,Jiménez,Jiménez,F,Wolves,7.5,7.5
431,Romain,Saïss,Saïss,D,Wolves,5.0,5.0
432,Fernando,Marçal,Marçal,D,Wolves,4.5,4.5
433,Jonathan,Castro Otto,Jonny,D,Wolves,4.5,4.5
434,Leander,Dendoncker,Dendoncker,M,Wolves,5.0,5.0
435,Adama,Traoré,Traoré,M,Wolves,6.0,6.0
436,Rúben Diogo,da Silva Neves,Neves,M,Wolves,5.5,5.5
437,Nélson,Cabral Semedo,Semedo,D,Wolves,5.0,5.0
438,Daniel,Castelo Podence,Podence,M,Wolves,5.5,5.5
439,Max,Kilman,Kilman,D,Wolves,4.5,4.5
440,Morgan,Gibbs-White,Gibbs-White,M,Wolves,4.5,4.5
441,Pedro,Lomba Neto,Neto,M,Wolves,6.5,6.5
442,Owen,Otasowie,Otasowie,M,Wolves,4.5,4.5
443,Ki-Jana,Hoever,Hoever,D,Wolves,4.0,4.0
444,Andreas,Söndergaard,Söndergaard,G,Wolves,4.0,4.0
445,Fabio,Silva,Fabio Silva,F,Wolves,6.0,6.0
446,Yerson,Mosquera Valdelamar,Mosquera,D,Wolves,4.5,4.5
447,Danny,Welbeck,Welbeck,F,Brighton,6.0,6.0
448,Angus,Gunn,Gunn,G,Norwich,4.0,4.0
449,Milot,Rashica,Rashica,M,Norwich,5.5,5.5
450,Emmanuel,Dennis,Dennis,F,Watford,5.0,5.0
451,Nathan,Collins,Collins,D,Burnley,4.5,4.5
452,John,Ruddy,Ruddy,G,Wolves,4.5,4.5
453,Fernando,Luiz Rosa,Fernandinho,M,Man City,5.0,5.0
454,Matthew,Pollock,Pollock,D,Watford,4.0,4.0
455,Patson,Daka,Daka,F,Leicester,7.5,7.5
456,Ben,Gibson,Gibson,D,Norwich,4.5,4.5
457,Dimitris,Giannoulis,Giannoulis,D,Norwich,4.5,4.5
458,Boubakary,Soumaré,Soumaré,M,Leicester,5.0,5.0
459,Juan,Mata,Mata,M,Man Utd,5.0,5.0
460,Romain,Perraud,Perraud,D,Southampton,5.0,5.0
461,Francisco,Machado Mota de Castro Trincão,Trincão,M,Wolves,6.0,6.0
462,Enock,Mwepu,Mwepu,M,Brighton,6.0,6.0
463,Héctor Junior,Firpo Adames,Firpo,D,Leeds,5.0,5.0
464,Michael,Olise,Olise,M,Crystal Palace,5.5,5.5
465,Federico,Fernández,Fernández,D,Newcastle,4.5,4.5
466,Nuno,Varela Tavares,Tavares,D,Arsenal,4.5,4.5
467,Oghenekaro Peter,Etebo,Etebo,M,Watford,4.5,4.5
468,Joshua,King,King,F,Watford,5.5,5.5
469,Adedapo,Awokoya-Mebude,Mebude,F,Watford,4.5,4.5
470,Rayan,Ait Nouri,Ait Nouri,D,Wolves,4.5,4.5
471,Pierre,Lees-Melou,Lees-Melou,M,Norwich,5.0,5.0
472,Juan Camilo,Hernández Suárez,Cucho,F,Watford,5.0,5.0
473,Ryan,Bertrand,Bertrand,D,Leicester,5.0,5.0
474,Joel,Ward,Ward,D,Crystal Palace,4.5,4.5
475,José,Malheiro de Sá,Sá,G,Wolves,5.0,5.0
476,Kjell,Scherpen,Scherpen,G,Brighton,4.5,4.5
477,Marc,Guéhi,Guéhi,D,Crystal Palace,4.5,4.5
478,Albert,Sambi Lokonga,Sambi Lokonga,M,Arsenal,5.0,5.0
479,Frank,Onyeka,Onyeka,M,Brentford,5.0,5.0
480,Wayne,Hennessey,Hennessey,G,Burnley,4.5,4.5
481,Asmir,Begović,Begović,G,Everton,4.0,4.0
482,Andros,Townsend,Townsend,M,Everton,5.5,5.5
